Loan Date Quarter,BorrowerState,LoanAmount
2009-Q1,GA,5500
2009-Q1,IL,1000
2009-Q1,MA,3000
2009-Q1,MD,3000
2009-Q1,MN,1700
2009-Q1,NJ,3500
2009-Q1,OH,5000
2009-Q1,OR,2400
2009-Q1,VA,1000
2009-Q1,WA,2000
2009-Q2,AL,15600
2009-Q2,AR,15100
2009-Q2,AZ,32917
2009-Q2,CA,278800
2009-Q2,CO,64360
2009-Q2,CT,50750
2009-Q2,DC,5500
2009-Q2,DE,9500
2009-Q2,FL,86565
2009-Q2,GA,110700
2009-Q2,HI,9000
2009-Q2,ID,21000
2009-Q2,IL,185498
2009-Q2,IN,52600
2009-Q2,KY,3500
2009-Q2,LA,13000
2009-Q2,MA,34800
2009-Q2,MD,101540
2009-Q2,MI,81299
2009-Q2,MN,84500
2009-Q2,MO,60570
2009-Q2,MS,9700
2009-Q2,NC,47100
2009-Q2,NE,10500
2009-Q2,NH,7000
2009-Q2,NJ,83250
2009-Q2,NV,7500
2009-Q2,NY,106000
2009-Q2,OH,62390
2009-Q2,OK,29495
2009-Q2,OR,60640
2009-Q2,PA,45400
2009-Q2,RI,6500
2009-Q2,SC,5475
2009-Q2,TN,37900
2009-Q2,TX,98640
2009-Q2,UT,45550
2009-Q2,VA,104800
2009-Q2,VT,7500
2009-Q2,WA,60300
2009-Q2,WI,27000
2009-Q2,WV,3500
2009-Q3,AK,12000
2009-Q3,AL,85320
2009-Q3,AR,60700
2009-Q3,AZ,77150
2009-Q3,CA,989431
2009-Q3,CO,219478
2009-Q3,CT,156700
2009-Q3,DC,78000
2009-Q3,DE,11000
2009-Q3,FL,493255
2009-Q3,GA,512643
2009-Q3,HI,13500
2009-Q3,ID,46950
2009-Q3,IL,393734
2009-Q3,IN,129949
2009-Q3,KS,14000
2009-Q3,KY,28500
2009-Q3,LA,38476
2009-Q3,MA,101451
2009-Q3,MD,136939
2009-Q3,MI,126100
2009-Q3,MN,160850
2009-Q3,MO,161727
2009-Q3,MS,26980
2009-Q3,MT,7685
2009-Q3,NC,242710
2009-Q3,NE,46850
2009-Q3,NH,11715
2009-Q3,NJ,97500
2009-Q3,NM,22250
2009-Q3,NV,44575
2009-Q3,NY,348113
